id,Title,Author,Permalink
3232,"How and Why to use TextMate for LaTeX",3,http://www.astrobetter.com/blog/2010/10/11/how-and-why-to-use-textmate-for-latex/
3252,"Dropbox Doubles Referral Credit if You've Got a .edu Email Address",3,http://www.astrobetter.com/blog/2010/10/10/dropbox-doubles-referral-credit/
3267,"Keyboard Shortcut for ""Save as PDF...""",3,http://www.astrobetter.com/blog/2010/10/15/keyboard-shortcut-for-save-as-pdf/
3284,"Publish your computer code: it is good enough",3,http://www.astrobetter.com/blog/2010/10/15/publish-your-computer-code-it-is-good-enough/
3297,"Do you Homebrew? Does it outdo MacPorts and Fink? ",6,http://www.astrobetter.com/blog/2010/10/18/do-you-homebrew-does-it-outdo-macports-and-fink/
3342,"Command-` to switch between windows of current application",3,http://www.astrobetter.com/blog/2010/10/19/command-to-switch-between-windows-of-current-application/
3365,"Leopard is retired; long live the Spitzer Heritage Archive (SHA)! ",10,http://www.astrobetter.com/blog/2010/10/20/leopard-is-retired-long-live-the-spitzer-heritage-archive-sha/
3385,"Advice to job-seekers",5,http://www.astrobetter.com/blog/2010/10/28/advice-to-job-seekers/
3401,"Is It Time You Were Reliably Unreliable?",3,http://www.astrobetter.com/blog/2010/10/26/is-it-time-you-were-reliably-unreliable/
3403,"Java and Mac OS X",8,http://www.astrobetter.com/blog/2010/10/25/java-and-mac-os-x/
3429,"Professional Development Workshops at AAS 217 in Seattle",3,http://www.astrobetter.com/blog/2010/10/29/professional-development-workshops-at-aas-217-in-seattle/
3445,"Estimate of the Situation ",10,http://www.astrobetter.com/blog/2010/11/01/estimate-of-the-situation/
3452,"More Advice for the Job Search",3,http://www.astrobetter.com/blog/2010/11/03/more-advice-for-the-job-search/
3454,"Write Now! And Write Often",3,http://www.astrobetter.com/blog/2010/11/02/write-now-and-write-often/
3457,Procrastination,3,http://www.astrobetter.com/blog/2010/11/10/procrastinatio/
3482,"Version Control Demystified, Part 1: Version Control in Apps you already use",7,http://www.astrobetter.com/blog/2010/11/15/version-control-part-1/
3484,"Version Control Demystified, Part 2: A Subversion Primer",7,http://www.astrobetter.com/blog/2010/11/29/version-control-part-2/
3486,"Version Control Demystified, Part 3: Git and Mercurial",7,http://www.astrobetter.com/blog/2010/12/20/version-control-part-3/
3504,"Let Go, Delegate, and Let the Students Do the Work",3,http://www.astrobetter.com/blog/2010/11/08/delegating/
3522,"Writing Better Recommendation Letters",3,http://www.astrobetter.com/blog/2010/11/09/writing-better-recommendation-letters/
3542,"Communicate, Cooperate, Collaborate",3,http://www.astrobetter.com/blog/2010/11/11/communicate-cooperate-collaborate/
3633,"Google Docs to Write Collaborative Proposals",3,http://www.astrobetter.com/blog/2011/01/06/google-docs-to-write-collaborative-proposals/
3635,"BibDesk Templates to Drag & Drop into Reference List",3,http://www.astrobetter.com/?p=3635
3638,"Bad Press for JWST Due to Poor Budgeting",3,http://www.astrobetter.com/blog/2010/11/17/bad-press-for-jwst/
3644,"Sleep Better by Adjusting Screen Brightness at Night",3,http://www.astrobetter.com/blog/2010/11/19/sleep-better-by-adjusting-screen-brightness-at-night/
3691,"Are the Obvious Non-Academic Career Options for Astronomers Not As Attractive as in Other Fields?",3,http://www.astrobetter.com/blog/2010/12/15/obvious-non-academic-career-options-for-astronomers-not-as-attractive/
3693,"JWST Will Not Ravage the NASA Astrophysics Budget",3,http://www.astrobetter.com/blog/2010/12/08/jwst-will-not-ravage-the-nasa-astrophysics-budget/
3696,"PiCloud: Advantages of running python in the cloud",6,http://www.astrobetter.com/blog/2010/12/28/picloud-advantages-of-running-python-in-the-cloud/
3733,"Macworld on the Mac of the Future",8,http://www.astrobetter.com/blog/2010/12/06/macworld-on-the-mac-of-the-future/
